year,gvkey,commodity_display,spearman_corr,alpha,beta,r_squared
2010,1075,Tin,0.7164183749222449,24.57413298478796,0.0004830740242263,0.7757100670434283
2010,1076,Tin,0.5782561056279096,4.038991421430877,0.0001031483767649,0.4125523762009024
2010,1078,Tin,0.9454545454545454,-42.03370939347687,0.0029364387952057,0.8365226115333994
2010,1209,Tin,-0.2789616505460771,1.6984344718429494,-8.098380291192362e-06,0.1056348968491829
2010,1300,Tin,-0.6849776815711619,0.0289562776082977,-5.409642996818564e-07,0.614311592959554
2010,1327,Tin,0.6287410949669868,0.1369476080546088,2.109647521352217e-06,0.2861309003394804
2010,1380,Tin,-0.7826931881434923,0.0114817691835923,-1.3307972425358856e-07,0.2842887420755848
2010,1410,Tin,0.4311040356679074,0.2787619742537516,3.242131884902307e-07,0.0004986480986625
2010,1598,Tin,0.6332727462870795,-2.7207085779302576,0.0003160354014555,0.5112277732268189
2010,1659,Tin,0.616733255814705,0.061193466848608,1.225481711570783e-06,0.1503349770640334
2010,1661,Tin,-0.7324133458972301,3.225693317110525,-2.589086879739279e-05,0.2799707822059429
2010,1678,Tin,0.2532555435701725,50.714405653437694,0.0002474987805956,0.1107104960368901
2010,1690,Tin,-0.3455448777914706,2.6176396413647787,-4.28757732253706e-06,0.0107663436768564
2010,1722,Tin,-0.5516483516483517,0.5334586130921445,-4.485909824522923e-06,0.3285882367808994
2010,1773,Tin,0.7980295566502461,11.324037087633148,0.0002499801347509,0.7423305120336491
2010,2086,Tin,-0.4382508286848074,3.886138432055467,-2.19116737548208e-05,0.0498073785252594
2010,2101,Tin,-0.5894875476846475,0.1157629234443302,-8.098708279960572e-07,0.0921362300151167
2010,2176,Tin,0.6647408859842246,0.028426592209727,6.266293910369399e-07,0.199641448018996
2010,2184,Tin,-0.757315675911013,7.4046190413479716,-6.093167751284634e-05,0.4938700935258248
2010,2220,Tin,0.6049643414230681,7.953496452994131,0.0001041194673578,0.2949254563101942
2010,2259,Tin,0.5743487041924503,8.09865467266366,4.7681132646966734e-05,0.3914771477669951
2010,2269,Tin,-0.3680025195007365,6.303194772538186,-2.3565367049282267e-05,0.075621983591254
2010,2270,Tin,0.1874673306870775,2.7670861988727444,5.343191291235164e-06,0.1084938025449231
2010,2285,Tin,0.6809424289014435,0.0171885914192518,3.63087478182917e-07,0.2379936977083114
